title,company,location,date_of_posting,description,source_website,provenance,source_type,link,matched_search_term,remote_mode
"Senior Frontend-Entwickler:in React / TypeScript, 100 % Remote, KI-First",,,,,xing,xing,public_page,https://www.xing.com/jobs/berlin-senior-frontend-entwickler-react-typescript-100-remote-ki-first-153784213,Frontend Developer,remote
Senior Frontend-Entwickler Angular/TypeScript (Ref.Nr.: 46660),,,,,xing,xing,public_page,https://www.xing.com/jobs/berlin-senior-frontend-entwickler-angular-typescript-ref-nr-46660-153792898,Frontend Developer,
Frontend Entwickler React & TypeScript (w/m/d) in Berlin (hybrid),,,,,xing,xing,public_page,https://www.xing.com/jobs/berlin-frontend-entwickler-react-typescript-berlin-hybrid-156556601,Frontend Developer,hybrid
Frontend Engineer (React / TypeScript) (m/f/d),,,,,xing,xing,public_page,https://www.xing.com/jobs/berlin-frontend-engineer-react-typescript-156687634,Frontend Developer,
Midtier Frontend Engineer (f/m/d),,,,,xing,xing,public_page,https://www.xing.com/jobs/berlin-midtier-frontend-engineer-154563139,Frontend Developer,
Senior Frontend Entwickler (all genders),,,2026-08-27,,xing,xing,public_page,https://www.xing.com/jobs/berlin-senior-frontend-entwickler-all-genders-157492807,Frontend Developer,
Trainee Frontend Development (m/w/d),,,,,xing,xing,public_page,https://www.xing.com/jobs/berlin-trainee-frontend-development-157197833,Frontend Developer,
Trainee Frontend Development (m/w/d),,,2026-08-25,,xing,xing,public_page,https://www.xing.com/jobs/berlin-trainee-frontend-development-157180251,Frontend Developer,
Fullstack/Frontend Developer (m/w/d),,,,,xing,xing,public_page,https://www.xing.com/jobs/berlin-fullstack-frontend-developer-155717354,Frontend Developer,
Senior Frontend Developer,,,,,xing,xing,public_page,https://www.xing.com/jobs/berlin-senior-frontend-developer-146720052,Frontend Developer,
Senior Frontend Entwickler:in (d/m/w),,,,,xing,xing,public_page,https://www.xing.com/jobs/berlin-senior-frontend-entwickler-155788259,Frontend Developer,
Senior Frontend Entwickler (gn),,,2026-08-27,,xing,xing,public_page,https://www.xing.com/jobs/berlin-senior-frontend-entwickler-gn-157478502,Frontend Developer,
"Data and Digital Services, Tax Technology (Senior) Frontend Entwickler - Fokus Tax Technology (m/w/d)",,,,,xing,xing,public_page,https://www.xing.com/jobs/berlin-data-and-digital-services-tax-technology-senior-frontend-entwickler-fokus-tax-technology-157131103,Frontend Developer,
Frontend-Entwickler & Design-Technologist*,,,,,xing,xing,public_page,https://www.xing.com/jobs/berlin-frontend-entwickler-design-technologist-157301887,Frontend Developer,
Softwareentwickler Frontend,,,,,xing,xing,public_page,https://www.xing.com/jobs/berlin-softwareentwickler-frontend-157339744,Frontend Developer,
INTERIM Frontend Entwickler (gn),,,,,xing,xing,public_page,https://www.xing.com/jobs/berlin-interim-frontend-entwickler-gn-157272514,Frontend Developer,
Senior Frontend Angular Developer (all genders),]init[ AG,"Berlin, BERLIN, DEUTSCHLAND",2026-08-21,,bundesagentur,bundesagentur,api,https://www.jobexport.de/job/5226489.html?exp=81&cid=48879b28-63e5-4e99-a2b9-944efbba588b,Frontend Developer,
Software Engineer,JetBrains GmbH,"Berlin, BERLIN, DEUTSCHLAND",2026-08-27,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003613387-S,Software Engineer,
Senior Web Developer BundesMessenger (m/w/d),BWI GmbH,"Berlin, BERLIN, DEUTSCHLAND",2026-08-27,,bundesagentur,bundesagentur,api,https://gute-jobs.de/viewjob-k69zx?utm_source=jsba-premium&utm_medium=n-a&utm_campaign=jsba-premium&utm_term=senior-web-developer-bundesmessenger-m-w-d,Web Developer,
Data & Quality Management Junior Specialist  - 3D Data Acquisition (all genders),Zalando SE,"Berlin, BERLIN, DEUTSCHLAND",2026-08-01,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/18251-31683-S,Talent Acquisition Specialist,
B126-C10 Senior Softwareentwickler Full-Stack (m/w/d) – Direktvermittlung in Festanstellung,Jan Schreiner Private Arbeitsvermittlung Arbitex,"Berlin, BERLIN, DEUTSCHLAND",2026-07-28,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003457275-S,Junior Full Stack Developer,
(Senior) Full Stack Developer (m/d/w),EXXETA AG,"Berlin, BERLIN, DEUTSCHLAND",2026-07-21,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/12336-a26f1192j0438731-S,Full Stack Developer,
